351920,1861,1,1,577876,22076,7280,36673,16436,80,	97,80,	97,13923,0,0,14
351997,1862,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
352059,1863,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
352122,1864,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
352184,1865,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
352825,1866,0,1,555756,1631583,7012,2280919,16436,5836,	7059,5837,	7059,13731,0,0,10
352919,1867,1,1,578610,22109,7275,37932,16436,81,	97,81,	97,12942,0,0,14
352997,1868,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
353058,1869,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
353122,1870,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
353183,1871,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
353824,1872,0,1,557587,1632882,7025,2281209,16436,5842,	7065,5842,	7066,13717,0,0,10
353921,1873,1,1,578732,22120,7273,37379,16436,80,	98,80,	98,14743,0,0,14
353996,1874,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
354060,1875,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
354121,1876,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
354185,1877,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
354824,1878,0,1,556587,1633061,7033,2281915,16436,5847,	7068,5847,	7067,13683,0,0,0
354918,1879,1,1,576443,22126,7277,36453,16434,81,	97,81,	97,12942,0,0,14
354996,1880,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
355059,1881,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
355121,1882,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
355182,1883,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
355825,1884,0,1,556283,1632857,7039,2279266,16434,5845,	7064,5845,	7065,13665,0,0,0
355919,1885,1,1,576732,22112,7272,36608,16436,80,	97,81,	97,13923,0,0,14
355995,1886,2,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
356059,1887,3,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
356120,1888,4,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
356184,1889,5,0,0,0,123,123,30000,0,	0,0,	0,1234,0,0,10000
ts,seq,#ID,S,V,I,Vp,Ip,per,VA,W,VAE,WE,PF,0,0,StatusCode
356825,1890,0,1,556587,1633280,7052,2280342,16438,5847,	7068,5847,	7067,13683,0,0,0
356919,1891,1,1,576812,22088,7270,37161,16436,81,	98,80,	98,13752,0,0,14
